CD_CLIENTE;DIAS_CLIENTE
TFDICB;968
TFCU91;1699
TFDDYV;1161
TEZBRW;1059
TEZCXN;4503
TB4380;3496
TFCSVE;1760
TDC28Q;1949
TEZODM;3450
TFCRWW;1817
TFEEUM;191
T79683;5735
TFD683;1385
T41096;5470
T10271;8182
TFDJEB;907
TFDOTE;781
TB2891;3205
TFBJX0;3518
TFD975;1369
T37047;6614
TFCWZP;1553
TFDORX;783
T07810;5207
T24526;5695
T10047;6036
T53560;6867
TEVRZU;10163
TB1665;5833
TDCDHK;1034
TDCH4Z;690
TA8583;5428
TA2578;8187
T00245;11253
T55212;4643
TFCYO5;1482
TFDA94;1362
TDCHE3;339
TDCA6S;1126
T16514;5814
TA3294;6829
T57479;6205
TFCI28;2277
TDCGUW;692
TEZIFS;4015
T15140;7305
TFDFDQ;1108
TFDAIL;1339
TFBJPR;3100
T00953;11527
TFECX7;296
TFBW25;2734
TFEBRE;353
TFEEJG;208
TDCDGW;863
TFCYON;1482
TFEDX4;236
T34643;6081
TFCHMO;2291
T13047;5795
TFCJON;2215
TEZMY9;3608
TDCCR0;1034
TEZHHT;4101
T35673;8637
TDCE6C;2666
T50442;5690
T77947;5781
TFCXBC;2259
TCAQT1;3292
TFDSD7;562
T36279;5305
TFDTNS;513
TFCPWQ;1927
TEF091;2671
T15061;7080
TCBKBW;3433
TFECYR;292
T22893;12423
TDCFQY;1549
CARAMU;1192
TFDSE0;559
TEZEYE;6260
TDCE4Y;1108
TFDGGG;1060
TFECWY;292
T47344;7479
TA3658;9791
T48850;1635
T12653;7362
TFDIYX;1343
T13935;7388
TCAYM0;5015
TB0345;5707
TDCGPY;935
TFDEBT;1151
TFCYCX;1500
TEZJKS;3933
TEWBFO;8969
T16447;6659
TFDDRU;1175
TCAZNL;3352
TFDNLJ;844
TFDDOB;1179
TEZDFJ;4472
TFCUUM;1690
TFECL2;312
TDCDE4;566
T55117;12820
TFDO96;814
T77178;5741
TFDBWE;1265
TFDGEH;1063
TFDVKM;387
TEZFH9;4296
TFDEHG;1145
TDCFB2;431
TFDTS1;509
TFDNT0;831
T03372;7445
TCABJ7;3238
T15517;1048
TFDCDY;1241
TFCVIZ;1500
TEZHZZ;4052
TFBESR;3131
TFECN2;307
TDCFJ6;1733
TDC00X;2820
TB6695;2995
TEZAT6;4708
TFDUGE;465
TEZOSP;3384
T14705;7178
T03367;5511
TFEEPN;205
TDC1NE;1938
TEZES3;4346
T14596;7194
TFEDU2;243
T09665;5715
TFCPW1;1914
T37701;558
TDCG0M;702
TFDTND;515
TFEC45;326
TFCZXJ;1423
TFCATH;2558
TFDVAH;417
TFECQ0;303
TDCEDY;1544
TFCDWZ;2449
TFDQK0;669
T36222;4909
TDC8E8;4191
TFCDZH;2382
T06008;8763
T57598;6082
TDCHCX;342
TEXSOQ;4924
T33094;5015
TFD315;1398
T31440;4673
TEZIIE;4015
TFCP51;1998
T10506;8146
TFCEK4;2426
TDCG96;1972
TEWTYL;5598
TFCITQ;2245
TFBIP8;3119
TDCCIW;1399
TFDVAY;416
TA3153;3642
T53231;11741
TEZBOY;4625
T44001;8122
T01436;5540
TFCASC;1300
TEZKBO;5470
TDCDEJ;1754
T29324;5417
TFDQOZ;669
T04586;5353
T07542;8889
TB2186;5475
TFDSC8;1482
TFDUPG;947
TFCZFM;1452
TDCEAT;2076
TFCMKC;2113
TEZFBU;4314
TFCLL0;2152
TFC462;2610
TCBJP0;3656
TDCD6Y;1452
TFCSP4;1763
TDCC1W;1188
TFCZG8;1452
T11036;6151
TFDTYP;492
TFCX76;1554
TFCBNJ;2525
TFDTJC;527
TFDH05;1026
TFCVEO;1640
TB2281;5337
TB1663;5860
TFD573;4594
TFDUTZ;440
TFCYIG;1474
T01127;10232
TFEEJM;208
TFD055;1026
T00831;12517
TEZEFG;4378
T36316;4756
T53268;6206
TEZDEP;4451
TDCFGP;758
TFCMTK;2104
TFEDT5;244
T24389;4664
TDCDFC;578
TFDUK4;454
TDCCUT;1045
TFDMC7;877
TFBWL7;2714
TFDIEU;964
T17299;5816
TFDJLF;900
TDCF60;1489
TD0181;6383
TDCFFY;1906
TB4253;4050
T31057;6841
TDCC1Q;425
T33036;11447
TB4074;3792
T09428;5836
T50331;4293
TDCEA5;997
TFDSNV;538
TFDIMR;948
TDCGO3;2652
TFDAJW;1411
TFDE00;1159
T09851;6242
TDCA64;1551
TFDU38;485
TDCF81;4861
TFEEK4;208
TCBAE4;1188
TFBXRM;3345
T11117;5361
T07849;3672
TCAKDA;2075
TEZD92;4482
T75322;4379
TEXPMN;4965
T53719;9551
TFCFED;2397
TFBSYK;2791
TEXVFR;4918
TDC05E;1174
T46341;7723
T46479;5185
TFDCV8;1210
TFCIPB;2251
TA2928;7066
TFDSRD;535
TDCEID;1461
T16942;6519
T17638;7062
TB6500;3086
TDC31X;4954
TDCEGT;2622
T07372;10338
TFBMSH;3495
TB4345;4060
TFDNRP;835
TFCSJV;1783
TFCSPE;1769
TFDTTR;502
TEZGQE;4335
TEZKF9;3828
T03753;6760
T76859;5511
TDCFEV;1943
TDCG39;787
TFDIO4;942
T34636;9725
TDCA2S;1788
T24827;11952
TFBNCU;1405
TFDGLY;4631
TFCKNF;2183
TFDHN6;1003
TEXKSC;5358
TDCD9Z;1378
TA3738;3685
TFDQTZ;662
TFCVO9;1619
TDCG4G;3598
TDCCRD;1339
TDCEVI;1612
TFCBLJ;2530
T55596;5070
TFEESC;199
TFDSFD;555
TFDTVC;496
TA3493;5449
TFCKNR;2183
TFDUL9;452
TFDSI8;548
TFDDCS;1192
TDCFHJ;1363
TDCH7J;766
TA6050;4982
T38204;3988
TFDPRO;727
T49600;494
TFCLOE;2130
TB4166;4182
TFCRZ9;1811
TFCTIW;1740
TFED27;279
TDCFDD;1040
TDCCXL;2132
TEYJD8;4832
TDCGXG;3124
T43055;450
TDCC60;1348
TFDN76;860
T54397;6282
TFDFVU;1083
TDCEZA;493
T33358;5682
TFDDF5;1187
TFDISF;936
TFDOD9;814
TDCGAI;2679
TEZFFE;4308
T16015;6786
TCANHX;3378
T57211;5618
TFDJMK;895
TFBXI2;3072
TFDBPH;1272
T59811;935
TB6504;5327
T06888;9091
T52637;4496
TFBKGN;3009
TDC9ZC;1115
T15331;6997
T09800;8326
T61500;5231
TA2588;7436
TEZCQM;4541
TFAIDI;832
T74314;3672
T03436;6892
TD0133;4402
TFCLGO;2154
TFBUG2;5044
TFEDR7;254
T51553;5297
TFDR64;647
TB3043;4850
TDCFC3;822
TDCGVM;1395
TFDAZV;1306
TFEDL3;257
TDCCAV;1902
TB4679;4218
TDCDCF;1584
TDCGDN;2291
TFDUTP;443
TDCFKR;709
TEXKQZ;4996
TFCSGA;1791
T10471;8137
T26845;8167
TEZPEH;3358
TFCOH0;2034
TDCENU;451
