CD_CLIENTE;DS_PROD_moda;DS_LIN_REC_moda;CIDADE_moda;DS_CNAE_moda;DS_SEGMENTO_moda;DS_SUBSEGMENTO_moda;MARCA_TOTVS_moda;MODAL_COMERC_moda;PAIS_moda;PERIODICIDADE_moda;UF_moda;VL_TOTAL_CONTRATO_soma;faixa_vl_total_soma_contratos
99069;CLOUD IAAS 36M;SAAS SERIE T;SAOPAULO;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;VAREJO;VAREJO;CLOUD;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;8120.772043477423;0.0-0.5M
99958;ADESAO TOTVS P;SAAS SMS ALUGUEL;JOINVILLE;PESSOA FISICA (SEM CNAE);SERVICOS;PROVEDOR SERVICOS;CROSS - TRADICIONAL;MODALIDADE ALUGUEL (LEGADO);105;00 - Mensal;SC;1634142.1768539124;1.5-2.0M
99999;CR.WN06.CsA;CDU TOTVS SERIE T;SAOPAULO;Desenvolvimento de programas de computador sob encomenda;TOTVS;TOTVS;MODALIDADE TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;42.719598572800564;0.0-0.5M
CARAMU;ADESAO OT LOG PLA 500 VIAGENS;CDU TOTVS SERIE T;ITUMBIARA;Fabricacao de oleos vegetais refinados, exceto oleo de milho;MANUFATURA;BENS DE CONSUMO;OTIMIZACAO LOGISTICA;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;GO;85314.57379392923;0.0-0.5M
T00018;CDU LGT G CAP HUMANO TRAD;CDU TOTVS SERIE T;SAOPAULO;Hoteis;SERVICOS;VIAGENS;HOSPITALIDADE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;205.12301641027668;0.0-0.5M
T00053;PROG OPED STUDIO ND USR MNT;SOFTWARE COMPLEMENTAR;RIODEJANEIRO;Fabricacao de preparacoes farmaceuticas;MANUFATURA;BENS DURAVEIS;SOFTWARE COMPLEMENTAR;MODALIDADE TRADICIONAL;105;00 - Mensal;RJ;967114.976429168;0.5-1.0M
T00082;PROGRESS ENT RDBMS MNT UC1Y;CDU TOTVS SERIE T;CAJAMAR;Servicos de engenharia;CONSTRUCAO E PROJETOS;ENGENHARIA & DESIGN;PROGRESS;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;132110.25769380905;0.0-0.5M
T00145;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SANTOANDRE;Comercio atacadista de maquinas e equipamentos para uso industrial, partes e pecas;LOGISTICA;ATACADISTA E DISTRIBUIDOR;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;57353.56237911872;0.0-0.5M
T00151;CDU FULL TOTVS TRAD;SMS TOTVS SERIE T;SAOPAULO;Confeccao de roupas intimas;EDUCACIONAL;EDUCACAO CONTINUADA;BACKOFFICE - CORE;MODALIDADE SERVICOS NÃO RECORRENTES;105;00 - Mensal;SP;4624.108581275967;0.0-0.5M
T00245;CDU FULL TOTVS TRAD;CONSULTORIA TRADICIONAL;BARUERI;Comercio atacadista de maquinas e equipamentos para uso industrial, partes e pecas;LOGISTICA;ATACADISTA E DISTRIBUIDOR;SERVICOS DE IMPLANTACAO;MODALIDADE SERVICOS NÃO RECORRENTES;105;00 - Mensal;SP;2011.1253648128131;0.0-0.5M
T00255;SMS TOTVS TEC USER;CDU TOTVS SERIE T;NOVAODESSA;Fabricacao de tecidos especiais, inclusive artefatos;MANUFATURA;BENS DE CONSUMO;RH - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;8066.226994128658;0.0-0.5M
T00292;TOTVS TEC USER;CDU TOTVS SERIE T;FLORIANOPOLIS;Transporte rodoviario coletivo de passageiros, com itinerario fixo, intermunicipal, exceto em regiao metropolitana;SERVICOS;PROVEDOR SERVICOS;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SC;21692.404277492733;0.0-0.5M
T00336;CDU CORP TOTVS MANUFATURA RB2;CDU TOTVS SERIE T;SAOPAULO;Fabricacao de cronometros e relogios;MANUFATURA;BENS DURAVEIS;MANUFATURA - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;223983.08439770574;0.0-0.5M
T00361;ALMOXARIFADO E ESTOQUE;SAAS CMNET HOTAL;SAOPAULO;OUTRAS ATIVIDADES ASSOCIATIVAS PROFISSIONAIS;SERVICOS;PROVEDOR SERVICOS;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;1440.9183552855447;0.0-0.5M
T00390;SMS TOTVS TEC USER;SMS TOTVS SERIE T;SOROCABA;Fabricacao de aviamentos para costura;MANUFATURA;BENS DURAVEIS;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;5814.384552571403;0.0-0.5M
T00538;CDU CORP TOTVS MANUFATURA RB2;CDU TOTVS SERIE T;CACHOEIRODEITAPEMIRIM;Aparelhamento de placas e execucao de trabalhos em marmore, granito, ardosia e outras pedras;MANUFATURA;EXTRATIVISTA & BENEFICIAMENTO;MANUFATURA - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;ES;137709.45099157395;0.0-0.5M
T00546;CDU LGT G CAP HUMANO TRAD;SMS TOTVS SERIE T;MOGIDASCRUZES;Metalurgia do po;MANUFATURA;BENS DE CAPITAL;RH - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;17430.907821201436;0.0-0.5M
T00631;SMS TOTVS TEC USER;CDU TOTVS SERIE T;RIOGRANDEDASERRA;Fabricacao de outras pecas e acessorios para veiculos automotores nao especificadas anteriormente;MANUFATURA;METAL-MECANICO & PLASTICO;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;20791.126684812334;0.0-0.5M
T00673;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SAOBERNARDODOCAMPO;Fabricacao de outros produtos quimicos inorganicos nao especificados anteriormente;MANUFATURA;QUIMICA & RECICLAGEM;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;40577.97286371544;0.0-0.5M
T00686;CDU CORP TOTVS MANUFATURA RB2;CDU TOTVS SERIE T;VINHEDO;Fabricacao de adesivos e selantes;MANUFATURA;QUIMICA & RECICLAGEM;MANUFATURA - CORPORATIVO;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;501943.57548763766;0.5-1.0M
T00737;CDU MNT ATIVOS NG TRAD;SOFTWARE COMPLEMENTAR;SAOPAULO;Fabricacao de artefatos de material plastico para usos industriais;MANUFATURA;METAL-MECANICO & PLASTICO;SOFTWARE COMPLEMENTAR;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;6560748.618174904;6.5-7.0M
T00788;SMS TOTVS TEC USER;SMS TOTVS SERIE T;JAGUARIUNA;Desenvolvimento de programas de computador sob encomenda;SERVICOS;PROVEDOR SERVICOS;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;282437.70428320044;0.0-0.5M
T00831;CA.Adic.CsU;CDU TOTVS SERIE T;BELOHORIZONTE;Seguros de vida;SERVICOS;OUTRAS ATIVIDADES DE SERVIÇOS FINANCEIRO;MODALIDADE TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;120952.82087290015;0.0-0.5M
T00931;CDU FULL TOTVS TRAD;CONSULTORIA TRADICIONAL;DIADEMA;Fabricacao de outras pecas e acessorios para veiculos automotores nao especificadas anteriormente;MANUFATURA;METAL-MECANICO & PLASTICO;SERVICOS DE IMPLANTACAO;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;590.9068032069056;0.0-0.5M
T00953;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;SAOPAULO;Restaurantes e similares;VAREJO;VAREJO;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;64837.471050643144;0.0-0.5M
T00971;SMS TOTVS TEC USER;SMS TOTVS SERIE T;PORTOALEGRE;Fabricacao de perifericos para equipamentos de informatica;MANUFATURA;BENS DURAVEIS;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;RS;18804.274392441876;0.0-0.5M
T01008;TOTVS TEC USER;SMS TOTVS SERIE T;SAOPAULO;Comercio varejista de cosmeticos, produtos de perfumaria e de higiene pessoal;VAREJO;DROGARIA;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;90188.53443401013;0.0-0.5M
T01060;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;CURITIBA;Fabricacao de outras pecas e acessorios para veiculos automotores nao especificadas anteriormente;MANUFATURA;METAL-MECANICO & PLASTICO;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;PR;19640.854620230006;0.0-0.5M
T01085;SMS TOTVS TEC USER;CDU TOTVS SERIE T;CAMPINAS;Fabricacao de artigos de metal para uso domestico e pessoal;MANUFATURA;BENS DE CAPITAL;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;50647.531271096785;0.0-0.5M
T01104;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;MURIAE;Transporte rodoviario de carga, exceto produtos perigosos e mudancas, intermunicipal, interestadual e internacional;LOGISTICA;TRANSPORTADOR;BACKOFFICE - PARCEIRO;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;151927.73317749478;0.0-0.5M
T01127;SMS TOTVS TEC USER;SAAS SERIE T;DIADEMA;Fabricacao de outros produtos quimicos nao especificados anteriormente;MANUFATURA;QUIMICA & RECICLAGEM;FEEDZ;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;31453.89140538084;0.0-0.5M
T01134;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SAOVICENTE;Fabricacao de defensivos agricolas;MANUFATURA;QUIMICA & RECICLAGEM;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;72549.8131276829;0.0-0.5M
T01173;SMS TOTVS TEC USER;CDU TOTVS SERIE T;VIANA;Fabricacao de produtos … base de cafe;MANUFATURA;BENS DE CONSUMO;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;ES;56742.72088427312;0.0-0.5M
T01205;SMS TOTVS TEC USER;SMS TOTVS SERIE T;CUSTODIA;Fabricacao de outros produtos alimenticios nao especificados anteriormente;MANUFATURA;BENS DE CONSUMO;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;PE;66370.40343599777;0.0-0.5M
T01254;PROG OPED STUDIO ND USR MNT;CLOUD COMPUTING.;CONTAGEM;Fabricacao de transformadores, indutores, conversores, sincronizadores e semelhantes, pecas e acessorios;MANUFATURA;BENS DE CAPITAL;CLOUD;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;31915.836476112054;0.0-0.5M
T01259;CONS TEF MULTILOJA;SMS TOTVS SERIE T;SAOPAULO;Comercio varejista de mercadorias em geral, com predominancia de produtos alimenticios - supermercados;VAREJO;SUPERMERCADO;SUPERMERCADOS - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;30385.363347317725;0.0-0.5M
T01346;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;SANTOANDRE;Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgencias;SAUDE;HOSPITAIS;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;1808.9450485600796;0.0-0.5M
T01351;ADESAO TOTVS P;CDU TOTVS SERIE T;PORECATU;Fabricacao de acucar em bruto;AGROINDUSTRIA;SUCROENERGETICO;MODALIDADE TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;PR;41256.25684231459;0.0-0.5M
T01352;PROGRESS USER 11 CDU;CDU BEMATECH;BARUERI;Servicos combinados de escritorio e apoio administrativo;SERVICOS;PROVEDOR SERVICOS;MICRO E PEQUENOS NEGOCIOS (FOOD);MODALIDADE TRADICIONAL;105;00 - Mensal;SP;96343.90646926562;0.0-0.5M
T01356;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;JAU;Fabricacao de acucar em bruto;AGROINDUSTRIA;SUCROENERGETICO;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;857.4986220509043;0.0-0.5M
T01384;ARREND E LOCACOES STANDARD;CDU TOTVS SERIE T;UBERLANDIA;Comercio atacadista de mercadorias em geral, sem predominancia de alimentos ou de insumos agropecuarios;DISTRIBUICAO;ATACADISTA E DISTRIBUIDOR;MODALIDADE TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;MG;278468.8551537195;0.0-0.5M
T01436;CES.DIR. COOP/COM;CDU TOTVS SERIE T;JUNDIAI;Perfuracao e construcao de pocos de agua;CONSTRUCAO E PROJETOS;CONSTRUTORAS;DISTRIBUICAO & LOGISTICA - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;411750.4336259519;0.0-0.5M
T01440;ASSINATURA MENSAL INTERNET CMN;SMS CMNET HOTAL;ARACAJU;Hoteis;HOSPITALITY;HOSPEDAGEM;HOSPITALIDADE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SE;5898.621446509767;0.0-0.5M
T01487;CDU CORPORATIVO RB2;CDU TOTVS SERIE T;SAOPAULO;Fabricacao de outros produtos quimicos nao especificados anteriormente;MANUFATURA;QUIMICA & RECICLAGEM;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;13003.295941016768;0.0-0.5M
T01502;CDU LGT GCH ON-DEMAND 100 TRA;CDU TOTVS SERIE T;PINDORAMA;Fabricacao de maquinas e equipamentos para a agricultura e pecuaria, pecas e acessorios, exceto para irrigacao;MANUFATURA;BENS DE CAPITAL;RH - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;254287.99432271623;0.0-0.5M
T01526;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SAOPAULO;Fabricacao de artigos de serralheria, exceto esquadrias;MANUFATURA;BENS DE CAPITAL;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;18524.680042758904;0.0-0.5M
T01531;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SAOPAULO;Atividades de contabilidade;SERVICOS;PROVEDOR SERVICOS;SOFTWARE COMPLEMENTAR;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;51792.76291069503;0.0-0.5M
T01567;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SAOPAULO;Fabricacao de outras pecas e acessorios para veiculos automotores nao especificadas anteriormente;MANUFATURA;METAL-MECANICO & PLASTICO;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;7885.09959557448;0.0-0.5M
T01637;CONTR.MANUT.FINAN.;SMS TOTVS SERIE T;RIODEJANEIRO;Agente de propriedade industrial;JURIDICO;ESCRITORIO DE ADVOCACIA;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;RJ;1947.415906401985;0.0-0.5M
T01667;PROGRESS USER 11 SMS;CDU TOTVS SERIE T;COLOMBO;Fabricacao de cabines, carrocerias e reboques para caminhoes;MANUFATURA;METAL-MECANICO & PLASTICO;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;PR;8179.29394189623;0.0-0.5M
T01670;SMS TOTVS TEC USER;CDU TOTVS SERIE T;CAMPINAS;Fabricacao de outras maquinas e equipamentos de uso geral nao especificados anteriormente, pecas e acessorios;MANUFATURA;BENS DE CAPITAL;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;171096.31805329805;0.0-0.5M
T01690;SMS TOTVS TEC USER;CDU TOTVS SERIE T;PORTOALEGRE;Construcao de obras de arte especiais;CONSTRUCAO E PROJETOS;CONSTRUTORAS;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;RS;205828.1588335997;0.0-0.5M
T01695;CDU CORPORATIVO RB2 - TABELA A;CDU TOTVS SERIE T;SAOPAULO;Fabricacao de artefatos de borracha nao especificados anteriormente;MANUFATURA;METAL-MECANICO & PLASTICO;CROSS - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;111779.26421720235;0.0-0.5M
T01702;CDU  MED SEG TRABALHO NG TRAD;CDU TOTVS SERIE T;MORUNGABA;Fiacao de fibras artificiais e sinteticas;MANUFATURA;BENS DE CONSUMO;DISTRIBUICAO & VAREJO - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;10074.62825936706;0.0-0.5M
T01724;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;RECIFE;Fabricacao de obras de caldeiraria pesada;MANUFATURA;BENS DE CAPITAL;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;PE;20236.944779571568;0.0-0.5M
T01726;ADESAO AVALIACAO DE DESEMPENHO;CDU TOTVS SERIE T;SAOJOSEDOSCAMPOS;Desenvolvimento de programas de computador sob encomenda;SERVICOS;PROVEDOR SERVICOS;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;4128.5284477440055;0.0-0.5M
T01743;SMS TOTVS TEC USER;CDU TOTVS SERIE T;BAURU;EDICAO INTEGRADA A IMPRESSAO DE JORNAIS DIARIOS;MANUFATURA;PAPEL & CELULOSE;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;69896.46026891566;0.0-0.5M
T01744;AHG GER. EXCEDENTE - BILLING;SAAS SERIE T;SAOPAULO;Desenvolvimento e licenciamento de programas de computador nao-customizaveis;SERVICOS;PROVEDOR SERVICOS;RH - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;1416.3762359716295;0.0-0.5M
T01759;ASP CORPORATE;CDU TOTVS SERIE T;BARUERI;Fabricacao de moveis com predominancia de madeira;MANUFATURA;BENS DURAVEIS;CLOUD;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;12113.42761723289;0.0-0.5M
T01773;MOD FLUXO CAIXA PLA ON PREMISE;SMS TOTVS SERIE T;SAOPAULO;Producao de gas, processamento de gas natural;MANUFATURA;EXTRATIVISTA & BENEFICIAMENTO;GESPLAN;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;10978.999891070267;0.0-0.5M
T01777;SMS TOTVS TEC USER;CDU TOTVS SERIE T;DIADEMA;Fabricacao de artefatos de material plastico para outros usos nao especificados anteriormente;MANUFATURA;METAL-MECANICO & PLASTICO;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;10128.832796269016;0.0-0.5M
T01846;CDU FULL TOTVS TRAD;CDU TOTVS SERIE T;TABOAODASERRA;Fabricacao de luminarias e outros equipamentos de iluminacao;MANUFATURA;BENS DE CAPITAL;CROSS - TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;94763.53775737144;0.0-0.5M
