CD_CLIENTE;MRR_12M_median
CARAMU;2070.736708
T00053;448.951788
T00082;772.966671
T00145;222.549913
T00151;175.290512
T00255;688.874163
T00292;181.294905
T00336;2501.36139
T00361;41.8169
T00390;2950.072429
T00538;1186.829461
T00546;147.877167
T00631;307.979817
T00673;399.78675
T00686;2981.30592
T00788;671.421159
T00931;306.840149
T00971;449.457622
T01008;3024.915438
T01060;260.956643
T01085;186.573018
T01104;189.4974
T01127;302.746529
T01134;699.806588
T01173;621.733492
T01205;746.432901
T01254;438.545686
T01259;636.044604
T01346;470.222816
T01351;613.506632
T01356;699.314675
T01384;2994.304206
T01436;22.160555
T01440;273.288823
T01487;852.942941
T01502;875.923
T01526;188.544604
T01567;426.619264
T01667;495.937339
T01670;207.503636
T01690;1137.111606
T01695;49.103317
T01702;1839.326325
T01724;339.01745
T01726;366.438964
T01743;106.835654
T01759;917.30645
T01777;340.306701
T01846;749.130844
T01872;287.070309
T01877;506.993255
T01899;628.717296
T01901;885.21165
T02029;638.658068
T02069;397.225325
T02072;1932.377332
T02076;656.081455
T02084;569.094057
T02145;1635.235246
T02202;121.749774
T02250;768.28733
T02266;415.066262
T02282;127.522171
T02312;540.210049
T02345;108.7107
T02382;1179.374031
T02413;117.362319
T02424;317.682081
T02434;1060.076484
T02500;207.838492
T02519;161.341782
T02523;731.220243
T02542;540.732916
T02553;2319.282222
T02571;604.094303
T02610;762.228306
T02655;288.263849
T02684;10496.311686
T02724;651.457246
T02725;407.17948
T02727;358.468433
T02776;2730.543276
T02810;950.10684
T02817;890.027855
T02855;1468.797205
T02860;572.999222
T02904;1006.300741
T02963;1374.245237
T02984;54.392028
T03000;212.161352
T03013;1923.067029
T03061;2908.078305
T03062;6048.065861
T03067;3926.240395
T03085;996.386982
T03108;819.116416
T03116;1245.534781
T03120;4632.679396
T03133;1906.855303
T03154;1738.233807
T03193;860.23049
T03198;885.552622
T03201;192.353314
T03211;498.283213
T03213;99.721501
T03231;296.840043
T03268;1191.057421
T03306;750.230549
T03309;730.343261
T03314;1784.897681
T03315;438.185192
T03356;1292.152951
T03360;485.24525
T03367;1327.811645
T03372;332.709919
T03378;2035.830738
T03386;1250.800341
T03415;3937.070554
T03436;585.573599
T03439;458.983156
T03450;307.827296
T03455;207.223473
T03456;819.435579
T03459;2212.520134
T03485;283.151781
T03491;4333.035165
T03510;455.093402
T03524;261.81542
T03546;310.360332
T03558;3171.201064
T03581;244.002065
T03585;199.977403
T03607;1448.172833
T03638;677.430895
T03644;24.330291
T03650;443.675753
T03655;103.584464
T03673;918.481878
T03718;554.396382
T03752;2370.575785
T03753;224.816035
T03799;1262.63032
T03882;594.020729
T03960;505.977473
T03967;789.44992
T03969;1624.130745
T03993;796.673184
T04028;557.343169
T04065;1406.41316
T04083;158.177113
T04132;1055.428207
T04205;649.317119
T04247;1569.015202
T04251;1888.844656
T04305;901.79031
T04325;176.396175
T04366;346.236471
T04367;239.963939
T04389;962.665874
T04396;646.531629
T04398;651.417913
T04404;426.1583
T04411;1439.537454
T04467;420.736557
T04488;47.619355
T04491;596.596303
T04506;462.972283
T04586;331.19297
T04610;7.450636
T04630;64.340569
T04697;812.982947
T04819;1254.596245
T04851;722.319722
T04859;534.318501
T04867;17.536157
T04870;999.581198
T04876;501.487522
T05034;4266.373829
T05049;640.229334
T05051;282.241065
T05077;361.64621
T05114;810.781292
T05154;800.271702
T05174;721.547769
T05238;642.466613
T05248;282.467806
T05251;103.347551
T05273;2054.004067
T05303;379.061495
