CD_CLIENTE,telemetria_moduloid_moda,telemetria_productlineid_moda,telemetria_slotid_moda,telemetria_statuslicenca_moda,telemetria_contagem
T00053,5553,6,4000,Desconectado,4400
T00082,5629,6,4004,Desconectado,3103
T00145,5,2,4000,Desconectado,1022
T00245,5,2,4000,Desconectado,303
T00255,516,3,0,Desconectado,1261
T00336,5,2,4000,Desconectado,11197
T00390,2,2,4000,Desconectado,1761
T00538,520,3,0,Desconectado,14385
T00546,523,3,0,Desconectado,490
T00631,9,2,4134,,6
T00673,6,2,4000,Desconectado,3707
T00686,5553,6,4000,Desconectado,147
T00737,2,2,4000,Desconectado,1923
T00788,520,3,0,Desconectado,8930
T00971,6,2,4024,Desconectado,1156
T01008,5,2,4016,Desconectado,1566
T01060,2,2,0,Desconectado,1821
T01085,200,2,0,Desconectado,992
T01104,33,2,0,Desconectado,5547
T01127,5,2,4000,Desconectado,542
T01134,520,3,0,Desconectado,6182
T01173,2,2,4000,Desconectado,5380
T01205,5,2,4000,Desconectado,5216
T01254,5629,6,4000,Desconectado,1471
T01259,738,9,3502,Desconectado,9926
T01351,2,2,4024,Desconectado,473
T01356,84,2,4000,Desconectado,247
T01384,43,2,4171,Desconectado,7422
T01436,6,2,4000,Desconectado,1683
T01487,6,2,4000,Desconectado,1359
T01502,5209,6,0,Desconectado,79897
T01526,7,2,4000,Desconectado,26
T01567,7,2,4000,Desconectado,723
T01667,4007,6,4000,Desconectado,2258
T01670,5,2,4000,Desconectado,4925
T01690,520,3,0,Desconectado,10111
T01695,2,2,4000,Desconectado,54
T01702,6,2,4000,Desconectado,1715
T01724,84,2,4000,Desconectado,477
T01726,6,2,0,Desconectado,819
T01743,6,2,4000,Desconectado,807
T01759,5,2,4000,Desconectado,481
T01777,5,2,4000,Desconectado,594
T01846,4,2,4000,Desconectado,2871
T01872,6,2,4000,Desconectado,739
T01877,5,2,4000,Desconectado,5143
T01899,5,2,4000,Desconectado,2091
T01901,5,2,4000,Desconectado,3536
T02069,6,2,4000,Desconectado,3747
T02072,4093,2,4000,Desconectado,2164
T02076,5,2,4000,Desconectado,2978
T02084,5,2,4000,Desconectado,1414
T02145,4,2,4000,Desconectado,14963
T02250,4,2,0,Desconectado,17406
T02266,6,2,4000,Desconectado,2005
T02282,200,2,4001,Desconectado,14946
T02312,5075,1,4000,Desconectado,1611
T02382,5,2,4000,Desconectado,2286
T02413,5721,8,4100,Desconectado,139
T02424,533,3,533,Desconectado,1960
T02434,10,2,4024,Desconectado,2810
T02436,7,2,4000,Desconectado,6
T02500,99,2,0,Desconectado,8
T02523,5,2,4000,Desconectado,519
T02542,5,2,4000,Desconectado,2064
T02553,5,2,4000,Desconectado,1758
T02571,2,2,4000,Desconectado,1183
T02610,2,2,4000,Desconectado,4090
T02684,5554,6,4000,Desconectado,18395
T02724,5,2,4000,Desconectado,3381
T02725,99,2,0,Desconectado,2
T02727,10,2,4000,Desconectado,1561
T02776,7,2,4025,Desconectado,4807
T02810,5,2,4022,Desconectado,2757
T02817,533,3,4001,Desconectado,10962
T02855,16,2,4000,Desconectado,203
T02860,10,2,4164,Desconectado,21307
T02894,6,2,4000,Desconectado,1353
T02963,12,2,4000,Desconectado,8021
T03013,5553,6,4000,Desconectado,9994
T03062,5631,6,4000,Desconectado,102572
T03063,7,2,4000,Desconectado,361
T03067,5508,6,4000,Desconectado,17766
