CD_CLIENTE;DS_PROD_moda;DS_LIN_REC_moda;CIDADE_moda;DS_CNAE_moda;DS_SEGMENTO_moda;DS_SUBSEGMENTO_moda;MARCA_TOTVS_moda;MODAL_COMERC_moda;PAIS_moda;PERIODICIDADE_moda;UF_moda;VL_TOTAL_CONTRATO_soma;faixa_vl_total_soma_contratos;DIAS_CLIENTE;QTD_CONTRATACOES_12M;VLR_CONTRATACOES_12M
99069;CLOUD IAAS 36M;SAAS SERIE T;SAOPAULO;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;VAREJO;VAREJO;CLOUD;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;8120.772043477423;0.0-0.5M;2943;0.0;0.0
99958;ADESAO TOTVS P;SAAS SMS ALUGUEL;JOINVILLE;PESSOA FISICA (SEM CNAE);SERVICOS;PROVEDOR SERVICOS;CROSS - TRADICIONAL;MODALIDADE ALUGUEL (LEGADO);105;00 - Mensal;SC;1634142.1768539124;1.5-2.0M;3454;0.0;0.0
99999;CR.WN06.CsA;CDU TOTVS SERIE T;SAOPAULO;Desenvolvimento de programas de computador sob encomenda;TOTVS;TOTVS;MODALIDADE TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;42.719598572800564;0.0-0.5M;7037;0.0;0.0
CARAMU;ADESAO OT LOG PLA 500 VIAGENS;CDU TOTVS SERIE T;ITUMBIARA;Fabricacao de oleos vegetais refinados, exceto oleo de milho;MANUFATURA;BENS DE CONSUMO;OTIMIZACAO LOGISTICA;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;GO;85314.57379392923;0.0-0.5M;1192;0.0;0.0
T00018;CDU LGT G CAP HUMANO TRAD;CDU TOTVS SERIE T;SAOPAULO;Hoteis;SERVICOS;VIAGENS;HOSPITALIDADE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;205.12301641027668;0.0-0.5M;8664;0.0;0.0
T00053;PROG OPED STUDIO ND USR MNT;SOFTWARE COMPLEMENTAR;RIODEJANEIRO;Fabricacao de preparacoes farmaceuticas;MANUFATURA;BENS DURAVEIS;SOFTWARE COMPLEMENTAR;MODALIDADE TRADICIONAL;105;00 - Mensal;RJ;967114.976429168;0.5-1.0M;12261;1.0;4317.9500568851
T00082;PROGRESS ENT RDBMS MNT UC1Y;CDU TOTVS SERIE T;CAJAMAR;Servicos de engenharia;CONSTRUCAO E PROJETOS;ENGENHARIA & DESIGN;PROGRESS;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;132110.25769380905;0.0-0.5M;5585;4.0;11436.1693798315
T00145;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SANTOANDRE;Comercio atacadista de maquinas e equipamentos para uso industrial, partes e pecas;LOGISTICA;ATACADISTA E DISTRIBUIDOR;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;57353.56237911872;0.0-0.5M;7467;1.0;24.3403341602554
T00151;CDU FULL TOTVS TRAD;SMS TOTVS SERIE T;SAOPAULO;Confeccao de roupas intimas;EDUCACIONAL;EDUCACAO CONTINUADA;BACKOFFICE - CORE;MODALIDADE SERVICOS NÃO RECORRENTES;105;00 - Mensal;SP;4624.108581275967;0.0-0.5M;11527;0.0;0.0
T00245;CDU FULL TOTVS TRAD;CONSULTORIA TRADICIONAL;BARUERI;Comercio atacadista de maquinas e equipamentos para uso industrial, partes e pecas;LOGISTICA;ATACADISTA E DISTRIBUIDOR;SERVICOS DE IMPLANTACAO;MODALIDADE SERVICOS NÃO RECORRENTES;105;00 - Mensal;SP;2011.1253648128131;0.0-0.5M;11253;0.0;0.0
T00255;SMS TOTVS TEC USER;CDU TOTVS SERIE T;NOVAODESSA;Fabricacao de tecidos especiais, inclusive artefatos;MANUFATURA;BENS DE CONSUMO;RH - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;8066.226994128658;0.0-0.5M;4619;0.0;0.0
T00292;TOTVS TEC USER;CDU TOTVS SERIE T;FLORIANOPOLIS;Transporte rodoviario coletivo de passageiros, com itinerario fixo, intermunicipal, exceto em regiao metropolitana;SERVICOS;PROVEDOR SERVICOS;BACKOFFICE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SC;21692.404277492733;0.0-0.5M;7886;0.0;0.0
T00336;CDU CORP TOTVS MANUFATURA RB2;CDU TOTVS SERIE T;SAOPAULO;Fabricacao de cronometros e relogios;MANUFATURA;BENS DURAVEIS;MANUFATURA - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;SP;223983.08439770574;0.0-0.5M;8790;3.0;546.190372384343
T00361;ALMOXARIFADO E ESTOQUE;SAAS CMNET HOTAL;SAOPAULO;OUTRAS ATIVIDADES ASSOCIATIVAS PROFISSIONAIS;SERVICOS;PROVEDOR SERVICOS;HOSPITALIDADE - CORE;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;1440.9183552855447;0.0-0.5M;1439;0.0;0.0
T00390;SMS TOTVS TEC USER;SMS TOTVS SERIE T;SOROCABA;Fabricacao de aviamentos para costura;MANUFATURA;BENS DURAVEIS;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;5814.384552571403;0.0-0.5M;11527;0.0;0.0
T00538;CDU CORP TOTVS MANUFATURA RB2;CDU TOTVS SERIE T;CACHOEIRODEITAPEMIRIM;Aparelhamento de placas e execucao de trabalhos em marmore, granito, ardosia e outras pedras;MANUFATURA;EXTRATIVISTA & BENEFICIAMENTO;MANUFATURA - CORPORATIVO;MODALIDADE CORPORATIVO;105;00 - Mensal;ES;137709.45099157395;0.0-0.5M;5507;0.0;0.0
T00546;CDU LGT G CAP HUMANO TRAD;SMS TOTVS SERIE T;MOGIDASCRUZES;Metalurgia do po;MANUFATURA;BENS DE CAPITAL;RH - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;17430.907821201436;0.0-0.5M;11398;0.0;0.0
T00631;SMS TOTVS TEC USER;CDU TOTVS SERIE T;RIOGRANDEDASERRA;Fabricacao de outras pecas e acessorios para veiculos automotores nao especificadas anteriormente;MANUFATURA;METAL-MECANICO & PLASTICO;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;20791.126684812334;0.0-0.5M;9789;0.0;0.0
T00673;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SAOBERNARDODOCAMPO;Fabricacao de outros produtos quimicos inorganicos nao especificados anteriormente;MANUFATURA;QUIMICA & RECICLAGEM;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;40577.97286371544;0.0-0.5M;8299;1.0;6782.37315782334
