CD_CLIENTE;resposta_NPS;resposta_unidade;Nota_SupTec_Agilidade;Nota_SupTec_Atendimento;Nota_Comercial;Nota_Custos;Nota_AdmFin_Atendimento;Nota_Software;Nota_Software_Atualizacao
T00053;9.0;7.5;7.5;8.0;7.5;7.0;9.0;8.0;6.5
T00082;10.0;9.8;10.0;10.0;10.0;9.6;10.0;10.0;10.0
T00145;9.4;9.4;9.0;9.4;9.4;9.2;9.4;9.4;8.6
T00245;7.0;6.666666666666667;7.666666666666667;7.666666666666667;7.0;6.333333333333333;7.0;7.0;6.666666666666667
T00255;7.5;7.5;8.5;7.5;6.5;6.5;9.0;7.5;7.5
T00292;9.5;9.5;9.0;9.0;9.5;9.0;9.0;9.5;9.5
T00336;8.75;8.75;8.75;8.75;8.75;8.75;8.75;8.75;8.75
T00390;8.75;8.5;9.0;8.25;8.0;7.75;8.5;8.5;8.75
T00538;9.333333333333334;9.833333333333334;8.833333333333334;9.0;9.333333333333334;8.5;9.166666666666666;9.0;8.833333333333334
T00631;9.6;9.6;9.2;9.2;8.4;7.8;8.8;9.0;9.0
T00673;8.5;8.5;7.5;7.5;8.0;7.5;9.0;9.0;8.5
T00686;8.0;8.666666666666666;8.0;8.333333333333334;8.666666666666666;8.0;8.0;8.0;8.0
T00737;9.0;8.666666666666666;7.666666666666667;9.333333333333334;8.333333333333334;6.666666666666667;8.0;9.0;6.666666666666667
T00931;7.0;7.666666666666667;6.666666666666667;7.0;7.0;7.333333333333333;7.333333333333333;7.0;5.333333333333333
T00953;7.8;8.8;7.8;7.8;7.8;7.8;7.8;7.8;7.8
T00971;9.666666666666666;9.0;9.0;9.0;8.666666666666666;8.666666666666666;9.0;9.0;8.0
T01060;8.0;6.333333333333333;6.666666666666667;6.333333333333333;6.666666666666667;6.0;7.333333333333333;8.0;7.333333333333333
T01085;8.0;8.0;9.0;8.0;8.5;7.5;9.0;8.0;8.0
T01104;9.5;9.0;9.5;9.5;9.5;9.5;9.5;9.5;9.5
T01127;8.5;8.5;7.75;7.75;8.5;6.75;8.5;8.5;8.5
T01134;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0;10.0
T01173;6.0;7.8;5.6;6.0;7.0;5.8;7.0;6.0;6.4
T01205;7.666666666666667;8.166666666666666;7.166666666666667;7.333333333333333;7.333333333333333;7.0;8.166666666666666;7.5;7.333333333333333
T01254;8.5;8.5;8.5;8.5;8.5;7.75;8.25;8.5;8.5
T01259;8.0;9.0;6.666666666666667;9.0;9.0;6.333333333333333;7.666666666666667;9.0;7.333333333333333
T01346;8.75;8.75;8.25;8.75;8.75;8.75;8.75;8.75;8.75
T01351;9.0;9.0;8.0;8.0;9.0;8.0;8.0;9.0;9.0
T01356;10.0;10.0;9.333333333333334;9.666666666666666;9.666666666666666;10.0;10.0;10.0;9.333333333333334
T01384;9.0;9.0;9.0;9.0;9.0;7.0;9.0;9.0;9.0
T01436;9.666666666666666;9.0;9.333333333333334;9.666666666666666;9.666666666666666;7.0;9.333333333333334;9.0;8.0
T01440;3.75;2.75;2.5;3.0;3.5;3.5;3.75;3.75;3.5
T01487;9.0;7.75;7.75;8.75;9.5;7.0;8.25;7.0;7.75
T01502;8.5;9.125;8.125;8.375;8.625;8.125;8.5;8.25;8.125
T01526;8.8;9.6;7.2;7.6;7.6;6.2;8.2;8.6;7.8
T01567;8.5;8.5;7.0;7.5;9.0;7.0;8.5;8.5;8.5
T01667;8.0;8.75;7.5;7.75;8.5;6.25;6.5;7.25;8.0
T01670;8.0;8.5;7.5;6.5;6.0;7.0;8.5;8.0;8.5
T01690;6.0;8.0;4.0;6.0;9.0;7.0;7.0;10.0;10.0
T01695;9.666666666666666;9.0;8.333333333333334;8.666666666666666;8.333333333333334;7.666666666666667;9.0;9.0;8.666666666666666
T01702;9.75;9.5;9.25;9.25;9.75;9.25;9.25;9.75;9.25
T01724;8.75;8.5;8.75;8.75;8.75;8.25;8.75;8.75;8.75
T01726;6.5;7.0;6.5;6.5;6.5;6.5;6.5;6.5;6.5
T01743;8.9;8.5;8.7;8.9;8.9;8.7;8.9;9.0;9.2
T01759;8.5;8.5;8.25;8.25;8.5;7.25;8.25;8.5;8.0
T01777;10.0;10.0;9.0;10.0;10.0;9.0;9.666666666666666;10.0;9.666666666666666
T01846;9.6;9.2;9.0;9.0;8.6;8.2;9.6;9.6;9.6
T01872;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0
T01877;7.5;7.5;6.5;7.0;8.5;5.75;8.75;7.5;7.5
T01899;8.0;7.5;6.0;7.0;7.5;7.5;7.5;7.5;8.0
T01901;9.0;9.166666666666666;9.0;9.0;9.0;9.0;9.0;9.0;9.0
T02029;7.0;10.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0
T02069;8.0;9.0;6.0;8.0;8.0;5.0;9.0;8.5;6.0
T02072;8.0;8.0;9.0;8.5;8.0;7.0;8.0;8.0;8.5
T02076;8.6;8.8;8.4;8.8;8.6;7.6;8.6;8.6;8.4
T02084;8.5;9.25;8.0;8.0;9.0;7.0;8.5;8.5;8.5
T02145;8.5;8.5;8.5;8.5;8.5;8.5;8.5;8.5;8.5
T02250;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0
T02282;9.857142857142858;9.571428571428571;9.142857142857142;9.285714285714286;9.857142857142858;9.428571428571429;9.714285714285714;9.142857142857142;9.571428571428571
T02312;8.0;9.0;7.5;8.0;8.25;7.0;8.75;7.75;7.75
T02345;8.666666666666666;3.3333333333333335;8.0;8.0;7.333333333333333;8.333333333333334;8.666666666666666;8.666666666666666;8.666666666666666
T02382;8.8;9.0;8.2;8.8;8.8;8.2;9.0;8.8;8.6
T02413;7.5;7.5;7.0;8.0;7.0;7.5;7.5;7.0;7.25
T02424;9.75;10.0;9.0;9.375;9.625;9.0;8.75;10.0;9.75
T02434;8.0;9.0;8.0;8.0;9.0;8.0;9.0;8.0;8.0
T02500;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0
T02523;7.0;7.0;7.8;7.6;6.8;6.2;7.0;6.8;7.4
T02542;8.0;6.0;7.5;8.0;8.5;7.5;8.5;7.5;7.5
T02553;9.333333333333334;8.0;8.666666666666666;9.0;9.333333333333334;8.666666666666666;9.333333333333334;9.0;8.666666666666666
T02571;9.0;9.666666666666666;8.333333333333334;8.333333333333334;9.0;7.333333333333333;9.0;9.0;8.333333333333334
T02610;8.75;7.5;8.75;8.75;8.75;8.75;8.75;8.75;8.75
T02655;6.5;5.0;6.5;6.5;6.5;6.5;6.5;6.5;6.5
T02724;8.571428571428571;8.571428571428571;8.0;8.714285714285714;8.428571428571429;7.857142857142857;8.571428571428571;8.571428571428571;7.857142857142857
T02725;7.75;8.0;8.0;8.0;7.75;7.75;8.0;8.0;8.0
T02776;9.714285714285714;8.857142857142858;9.0;9.0;9.285714285714286;7.428571428571429;9.857142857142858;9.571428571428571;9.857142857142858
T02810;9.5;9.166666666666666;8.333333333333334;8.333333333333334;9.666666666666666;8.666666666666666;9.5;9.5;8.5
T02817;7.0;8.142857142857142;6.428571428571429;6.714285714285714;7.714285714285714;6.285714285714286;6.714285714285714;6.571428571428571;6.571428571428571
T02855;6.0;6.0;6.0;5.666666666666667;6.666666666666667;5.333333333333333;6.333333333333333;5.333333333333333;6.0
T02860;4.333333333333333;7.0;4.666666666666667;4.666666666666667;4.666666666666667;4.666666666666667;5.666666666666667;4.333333333333333;4.666666666666667
T02894;9.5;8.5;9.5;9.5;9.5;6.0;9.5;9.0;9.5
T02963;9.4;8.8;9.2;9.2;9.4;9.0;9.4;9.4;9.4
T02984;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0
T03000;8.0;7.5;8.0;9.0;8.0;8.0;8.0;7.5;6.5
T03013;7.333333333333333;8.0;7.666666666666667;7.666666666666667;8.333333333333334;6.666666666666667;7.0;7.666666666666667;7.0
T03061;8.0;8.0;7.0;7.0;8.0;7.0;8.0;8.0;10.0
