CD_CLIENTE;DS_PROD_MODA;DS_LIN_REC_MODA;CIDADE;DS_CNAE;DS_SEGMENTO;DS_SUBSEGMENTO;MARCA_TOTVS_MODA;MODAL_COMERC_MODA;PAIS;PERIODICIDADE_MODA;UF;VL_TOTAL_CONTRATO_SOMA;FAIXA_VLR_TOT_SOMA_CONTRATOS;DIAS_CLIENTE;QTD_CONTRATACOES_12M;VLR_CONTRATACOES_12M;CLUSTER_3;CLUSTER_4;CLUSTER_5;CLUSTER_6;telemetria_moduloid_moda;telemetria_productlineid_moda;telemetria_slotid_moda;telemetria_statuslicenca_moda;telemetria_contagem;NR_PROPOSTA_count;ITEM_PROPOSTA_agg_moda;HOSPEDAGEM_agg_moda;FAT_FAIXA_agg_moda;CD_PROD_agg_moda;QTD_median;QTD_sum;VL_PCT_DESC_TEMP_median;VL_PCT_DESC_TEMP_sum;VL_PCT_DESCONTO_median;VL_PCT_DESCONTO_sum;PRC_UNITARIO_median;PRC_UNITARIO_sum;VL_DESCONTO_TEMPORARIO_median;VL_DESCONTO_TEMPORARIO_sum;VL_TOTAL_median;VL_TOTAL_sum;VL_FULL_median;VL_FULL_sum;VL_DESCONTO_median;VL_DESCONTO_sum;MRR_12M_median;resposta_NPS;resposta_unidade;Nota_SupTec_Agilidade;Nota_SupTec_Atendimento;Nota_Comercial;Nota_Custos;Nota_AdmFin_Atendimento;Nota_Software;Nota_Software_Atualizacao
99069;CLOUD IAAS 36M;SAAS SERIE T;SAOPAULO;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;VAREJO;VAREJO;CLOUD;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;8120.77;0.0-0.5M;2943;0.0;0.0;0;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99958;ADESAO TOTVS P;SAAS SMS ALUGUEL;JOINVILLE;PESSOA FISICA (SEM CNAE);SERVICOS;PROVEDOR SERVICOS;CROSS - TRADICIONAL;MODALIDADE ALUGUEL (LEGADO);105;00 - Mensal;SC;1634142.18;1.5-2.0M;3454;0.0;0.0;0;1;4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99999;CR.WN06.CsA;CDU TOTVS SERIE T;SAOPAULO;Desenvolvimento de programas de computador sob encomenda;TOTVS;TOTVS;MODALIDADE TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;42.72;0.0-0.5M;7037;0.0;0.0;0;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CARAMU;ADESAO OT LOG PLA 500 VIAGENS;CDU TOTVS SERIE T;ITUMBIARA;Fabricacao de oleos vegetais refinados, exceto oleo de milho;MANUFATURA;BENS DE CONSUMO;OTIMIZACAO LOGISTICA;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;GO;85314.57;0.0-0.5M;1192;0.0;0.0;0;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2070.74;;;;;;;;;
T00018;CDU LGT G CAP HUMANO TRAD;CDU TOTVS SERIE T;SAOPAULO;Hoteis;SERVICOS;VIAGENS;HOSPITALIDADE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;205.12;0.0-0.5M;8664;0.0;0.0;0;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T00053;PROG OPED STUDIO ND USR MNT;SOFTWARE COMPLEMENTAR;RIODEJANEIRO;Fabricacao de preparacoes farmaceuticas;MANUFATURA;BENS DURAVEIS;SOFTWARE COMPLEMENTAR;MODALIDADE TRADICIONAL;105;00 - Mensal;RJ;967114.98;0.5-1.0M;12261;1.0;4317.95;0;1;0;1;5553.0;6.0;4000.0;Desconectado;4400.0;2.0;1.0;ON PREMISES;Faixa 05 - De 35 M ate 50 M;5J16017014;25.5;51.0;0.0;0.0;0.0;0.0;686.36;1372.72;0.0;0.0;2158.98;4317.95;0.11;0.21;0.0;0.0;448.95;9.0;7.5;7.5;8.0;7.5;7.0;9.0;8.0;6.5
T00082;PROGRESS ENT RDBMS MNT UC1Y;CDU TOTVS SERIE T;CAJAMAR;Servicos de engenharia;CONSTRUCAO E PROJETOS;ENGENHARIA & DESIGN;PROGRESS;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;132110.26;0.0-0.5M;5585;4.0;11436.17;0;2;3;2;5629.0;6.0;4004.0;Desconectado;3103.0;7.0;1.0;ON PREMISES;Faixa 04 - De 25 M ate 35 M;01A3374001;2.0;74.5;0.0;39.95;0.0;0.0;194.45;3463.33;0.0;849.52;1323.68;12933.69;366.62;6747.45;0.0;0.0;772.97;10.0;9.8;10.0;10.0;10.0;9.6;10.0;10.0;10.0
T00145;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SANTOANDRE;Comercio atacadista de maquinas e equipamentos para uso industrial, partes e pecas;LOGISTICA;ATACADISTA E DISTRIBUIDOR;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;57353.56;0.0-0.5M;7467;1.0;24.34;0;2;3;2;5.0;2.0;4000.0;Desconectado;1022.0;1.0;1.0;ON PREMISES;Faixa 03 - De 15 M ate 25 M;7TA1001079;10.0;10.0;0.0;0.0;0.0;0.0;2.35;2.35;0.0;0.0;23.5;23.5;23.5;23.5;0.0;0.0;222.55;9.4;9.4;9.0;9.4;9.4;9.2;9.4;9.4;8.6
T00151;CDU FULL TOTVS TRAD;SMS TOTVS SERIE T;SAOPAULO;Confeccao de roupas intimas;EDUCACIONAL;EDUCACAO CONTINUADA;BACKOFFICE - CORE;MODALIDADE SERVICOS NÃO RECORRENTES;105;00 - Mensal;SP;4624.11;0.0-0.5M;11527;0.0;0.0;0;2;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;175.29;;;;;;;;;
T00245;CDU FULL TOTVS TRAD;CONSULTORIA TRADICIONAL;BARUERI;Comercio atacadista de maquinas e equipamentos para uso industrial, partes e pecas;LOGISTICA;ATACADISTA E DISTRIBUIDOR;SERVICOS DE IMPLANTACAO;MODALIDADE SERVICOS NÃO RECORRENTES;105;00 - Mensal;SP;2011.13;0.0-0.5M;11253;0.0;0.0;0;2;3;2;5.0;2.0;4000.0;Desconectado;303.0;;;;;;;;;;;;;;;;;;;;;;;7.0;6.67;7.67;7.67;7.0;6.33;7.0;7.0;6.67
