CD_CLIENTE;DS_PROD_MODA;DS_LIN_REC_MODA;CIDADE;DS_CNAE;DS_SEGMENTO;DS_SUBSEGMENTO;MARCA_TOTVS_MODA;MODAL_COMERC_MODA;PAIS;PERIODICIDADE_MODA;UF;VL_TOTAL_CONTRATO_SOMA;FAIXA_VLR_TOT_SOMA_CONTRATOS;DIAS_CLIENTE;QTD_CONTRATACOES_12M;VLR_CONTRATACOES_12M;CLUSTER_3;CLUSTER_4;CLUSTER_5;CLUSTER_6;resposta_NPS;resposta_unidade;Nota_SupTec_Agilidade;Nota_SupTec_Atendimento;Nota_Comercial;Nota_Custos;Nota_AdmFin_Atendimento;Nota_Software;Nota_Software_Atualizacao
99069;CLOUD IAAS 36M;SAAS SERIE T;SAOPAULO;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;VAREJO;VAREJO;CLOUD;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;SP;8120,77;0.0-0.5M;2940;0,0;0,0;2;0;3;2;;;;;;;;;
99958;ADESAO TOTVS P;SAAS SMS ALUGUEL;JOINVILLE;PESSOA FISICA (SEM CNAE);SERVICOS;PROVEDOR SERVICOS;CROSS - TRADICIONAL;MODALIDADE ALUGUEL (LEGADO);105;00 - Mensal;SC;1634142,18;1.5-2.0M;3451;0,0;0,0;2;3;4;4;;;;;;;;;
99999;CR.WN06.CsA;CDU TOTVS SERIE T;SAOPAULO;Desenvolvimento de programas de computador sob encomenda;TOTVS;TOTVS;MODALIDADE TRADICIONAL;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;42,72;0.0-0.5M;7034;0,0;0,0;2;0;3;2;;;;;;;;;
CARAMU;ADESAO OT LOG PLA 500 VIAGENS;CDU TOTVS SERIE T;ITUMBIARA;Fabricacao de oleos vegetais refinados, exceto oleo de milho;MANUFATURA;BENS DE CONSUMO;OTIMIZACAO LOGISTICA;MODALIDADE ASSINATURA COMPLEMENTAR;105;00 - Mensal;GO;85314,57;0.0-0.5M;1189;0,0;0,0;2;0;3;2;;;;;;;;;
T00018;CDU LGT G CAP HUMANO TRAD;CDU TOTVS SERIE T;SAOPAULO;Hoteis;SERVICOS;VIAGENS;HOSPITALIDADE - CORE;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;205,12;0.0-0.5M;8661;0,0;0,0;2;0;3;2;;;;;;;;;
T00053;PROG OPED STUDIO ND USR MNT;SOFTWARE COMPLEMENTAR;RIODEJANEIRO;Fabricacao de preparacoes farmaceuticas;MANUFATURA;BENS DURAVEIS;SOFTWARE COMPLEMENTAR;MODALIDADE TRADICIONAL;105;00 - Mensal;RJ;967114,98;0.5-1.0M;12258;1,0;4317,95;2;3;1;4;9,0;7,5;7,5;8,0;7,5;7,0;9,0;8,0;6,5
T00082;PROGRESS ENT RDBMS MNT UC1Y;CDU TOTVS SERIE T;CAJAMAR;Servicos de engenharia;CONSTRUCAO E PROJETOS;ENGENHARIA & DESIGN;PROGRESS;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;132110,26;0.0-0.5M;5582;4,0;11436,17;2;0;3;2;10,0;9,8;10,0;10,0;10,0;9,6;10,0;10,0;10,0
T00145;SMS TOTVS TEC USER;CDU TOTVS SERIE T;SANTOANDRE;Comercio atacadista de maquinas e equipamentos para uso industrial, partes e pecas;LOGISTICA;ATACADISTA E DISTRIBUIDOR;TECNOLOGIA;MODALIDADE TRADICIONAL;105;00 - Mensal;SP;57353,56;0.0-0.5M;7464;1,0;24,34;2;0;3;2;9,4;9,4;9,0;9,4;9,4;9,2;9,4;9,4;8,6
T00151;CDU FULL TOTVS TRAD;SMS TOTVS SERIE T;SAOPAULO;Confeccao de roupas intimas;EDUCACIONAL;EDUCACAO CONTINUADA;BACKOFFICE - CORE;MODALIDADE SERVICOS NÃO RECORRENTES;105;00 - Mensal;SP;4624,11;0.0-0.5M;11524;0,0;0,0;2;0;3;2;;;;;;;;;
T00245;CDU FULL TOTVS TRAD;CONSULTORIA TRADICIONAL;BARUERI;Comercio atacadista de maquinas e equipamentos para uso industrial, partes e pecas;LOGISTICA;ATACADISTA E DISTRIBUIDOR;SERVICOS DE IMPLANTACAO;MODALIDADE SERVICOS NÃO RECORRENTES;105;00 - Mensal;SP;2011,13;0.0-0.5M;11250;0,0;0,0;2;0;3;2;7,0;6,67;7,67;7,67;7,0;6,33;7,0;7,0;6,67
